ID,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,CALLE,ALTURA,CRUCE,DIRECCIÓN NORMALIZADA,COMUNA,POS X,POS Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD,PARTICIPANTE A,PARTICIPANTE B,RANGO_ETARIO,ENCRUCIJADA
2016-0001,1,2016-01-01,04:00:00,avenida,piedra buena av.,sin datos,"fernandez de la cruz, f., gral. av.","piedra buena av. y fernandez de la cruz, f., gral. av.",8,-58.47533969,-34.68757022,moto,auto,conductor,masculino,19.0,moto,auto,18-29,True
2016-0002,1,2016-01-02,01:15:00,gral paz,"paz, gral. av.",sin datos,de los corrales av.,"paz, gral. av. y de los corrales av.",9,-58.50877521,-34.66977709,auto,pasajeros,conductor,masculino,70.0,auto,pasajeros,65+,True
2016-0003,1,2016-01-03,07:00:00,avenida,entre rios av.,2034.0,sin datos,entre rios av. 2034,1,-58.39040293,-34.63189362,moto,auto,conductor,masculino,30.0,moto,auto,30-44,False
2016-0004,1,2016-01-10,00:00:00,avenida,larrazabal av.,sin datos,"villegas, conrado, gral.","larrazabal av. y villegas, conrado, gral.",8,-58.46503904,-34.68092974,moto,sin datos,conductor,masculino,18.0,moto,sin datos,18-29,True
2016-0005,1,2016-01-21,05:20:00,avenida,san juan av.,sin datos,"saenz pe?a, luis, pres.","san juan av. y saenz peã‘a, luis, pres.",1,-58.38718297,-34.62246630,moto,pasajeros,conductor,masculino,29.0,moto,pasajeros,18-29,True
2016-0008,1,2016-01-24,18:30:00,avenida,27 de febrero av.,sin datos,escalada av.,27 de febrero av. y escalada av.,8,-58.44451316,-34.68475866,moto,objeto fijo,conductor,masculino,30.0,moto,objeto fijo,30-44,True
2016-0009,1,2016-01-24,19:10:00,calle,nogoya,sin datos,"gonzalez, joaquin v.","nogoya y gonzalez, joaquin v.",11,-58.50095869,-34.60825440,moto,auto,pasajero_acompañante,masculino,29.0,moto,auto,18-29,True
2016-0010,1,2016-01-29,15:20:00,gral paz,"paz, gral. av.",sin datos,de los corrales av.,"paz, gral. av. y de los corrales av.",9,-58.50877521,-34.66977709,moto,auto,conductor,masculino,18.0,moto,auto,18-29,True
2016-0012,1,2016-02-08,01:20:00,avenida,belgrano av.,sin datos,"irigoyen, bernardo de","belgrano av. e irigoyen, bernardo de",1,-58.38048577,-34.61303893,moto,cargas,conductor,masculino,22.0,moto,cargas,18-29,True
2016-0013,1,2016-02-10,11:30:00,avenida,entre rios av.,1366.0,sin datos,entre rios av. 1366,1,-58.39114932,-34.62477387,peaton,auto,peaton,masculino,16.0,peaton,auto,0-17,False
2016-0015,1,2016-02-14,05:14:00,avenida,"scalabrini ortiz, raul av.",sin datos,vera,"scalabrini ortiz, raul av. y vera",15,-58.43760020,-34.59912758,peaton,auto,peaton,femenino,16.0,peaton,auto,0-17,True
2016-0016,1,2016-02-14,22:00:00,avenida,regimiento de patricios av.,sin datos,"quinquela martin, benito","regimiento de patricios av. y quinquela martin, benito",4,-58.36882665,-34.64291993,moto,auto,pasajero_acompañante,femenino,19.0,moto,auto,18-29,True
